"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-19","5.59",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"65",",,W","53",",,W","  270",",,W","  330",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-20","7.38",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"55",",,W","39",",,W","   60",",,W","   40",",,W","18.1",",,W","25.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-21","5.82",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"47",",,W","34",",,W","  170",",,W","  240",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-22","2.91",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"57",",,W","42",",,W","  240",",,W","  210",",,W","12.1",",,W","17.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-23","3.58",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"65",",,W","44",",,W","  240",",,W","  240",",,W","13.0",",,W","19.9",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-24","6.04",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"70",",,W","58",",,W","  150",",,W","  170",",,W","14.1",",,W","21.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-25","6.71",",,W","0.54",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"63",",,W","44",",,W","  190",",,W","  200",",,W","19.9",",,W","28.0",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-26","8.95",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"44",",,W","36",",,W","  310",",,W","  300",",,W","18.1",",,W","29.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-27","5.59",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"54",",,W","35",",,W","  250",",,W","  250",",,W","16.1",",,W","25.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-28","4.03",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"59",",,W","47",",,W","  160",",,W","  160",",,W","10.1",",,W","19.0",",,W",,,,,,,,,,
